epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4851,0.62471,2.98785,1.08886,0.0046,0.98333,0.09474,0.06941,0.49269,3.31041,0.94346,3.334e-05,3.334e-05,3.334e-05
2,19.7174,0.42372,2.91268,1.00626,0.00469,1,0.2239,0.18154,0.35804,3.29467,0.88073,8.19747e-05,8.19747e-05,8.19747e-05
3,28.8222,0.70059,3.07081,1.19031,0.00463,1,0.4532,0.39559,0.35414,3.25591,0.85253,0.000128959,0.000128959,0.000128959
4,37.5595,0.51168,2.73767,1.04982,0.00464,1,0.56982,0.51221,0.38386,3.2379,0.9326,0.000174293,0.000174293,0.000174293
5,46.8741,0.6426,2.84938,1.15107,0.00464,1,0.60223,0.51858,0.48065,3.25245,1.00845,0.000217977,0.000217977,0.000217977
6,56.0861,0.65363,2.37142,1.14594,0.00465,1,0.60988,0.5273,0.48078,3.22066,1.02868,0.00026001,0.00026001,0.00026001
7,65.2071,0.63172,2.32954,1.144,0.00472,1,0.61139,0.54086,0.45165,3.14218,0.97565,0.000300393,0.000300393,0.000300393
8,74.2814,0.54195,2.14864,0.97723,0.00474,1,0.61372,0.56135,0.41763,3.1053,0.93289,0.000339126,0.000339126,0.000339126
9,83.5307,0.65726,2.09422,1.04304,0.00473,1,0.57061,0.50451,0.45554,2.99792,0.94198,0.000376209,0.000376209,0.000376209
10,92.6464,0.52446,1.78819,1.03164,0.00479,1,0.62191,0.55272,0.49729,2.98549,0.97841,0.000411641,0.000411641,0.000411641
11,101.561,0.56706,1.64789,1.03928,0.00479,0.96875,0.70484,0.63284,0.53324,2.95751,1.0379,0.000445422,0.000445422,0.000445422
12,110.552,0.50497,1.51565,0.99292,0.00468,0.96875,0.7099,0.62703,0.49665,2.90402,1.02095,0.000477554,0.000477554,0.000477554
13,119.782,0.73589,1.54375,1.18538,0.95671,0.17618,0.69576,0.57396,0.5013,2.83646,1.03607,0.000508035,0.000508035,0.000508035
14,129.012,0.50094,1.54219,1.0424,0.9626,0.20643,0.71981,0.62934,0.4615,2.84515,0.99466,0.000536866,0.000536866,0.000536866
15,138.048,0.59398,1.32737,1.07153,1,0.18255,0.7386,0.65273,0.40083,2.66076,0.95406,0.000564046,0.000564046,0.000564046
16,147.534,0.50172,1.44905,0.98579,1,0.25279,0.77345,0.68043,0.41562,2.65164,0.9388,0.000589576,0.000589576,0.000589576
17,156.644,0.54674,1.25901,1.0695,0.99933,0.48173,0.76007,0.64387,0.47123,2.64253,0.98311,0.000613456,0.000613456,0.000613456
18,165.835,0.5349,1.22648,0.96714,1,0.31948,0.79058,0.69579,0.53607,2.76188,1.00138,0.000635685,0.000635685,0.000635685
19,174.946,0.64911,1.22618,1.07833,1,0.31375,0.85399,0.75248,0.52329,2.81148,1.00183,0.000656265,0.000656265,0.000656265
20,183.97,0.50347,1.14034,0.99361,0.9703,0.54014,0.90872,0.8071,0.46504,2.68351,0.96406,0.000675193,0.000675193,0.000675193
21,193.276,0.54151,1.45775,0.99161,0.99118,0.63911,0.86661,0.77345,0.50578,2.63041,0.97705,0.000692472,0.000692472,0.000692472
22,202.31,0.5409,1.08687,1.02657,0.96846,0.68701,0.88561,0.77974,0.47366,2.56424,0.91663,0.0007081,0.0007081,0.0007081
23,211.586,0.52303,1.17846,0.99435,0.93065,0.72708,0.93458,0.83771,0.47596,2.27925,0.93309,0.000722078,0.000722078,0.000722078
