epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99084,0.54307,2.94469,1.0394,0.0043,0.97059,0.06169,0.04146,0.37562,3.39105,0.89672,1.667e-05,1.667e-05,1.667e-05
2,15.8139,0.49926,2.91843,1.01859,0.00446,1,0.11385,0.0692,0.35151,3.36476,0.88904,4.90198e-05,4.90198e-05,4.90198e-05
3,22.6843,0.56103,2.947,1.09965,0.00445,1,0.19298,0.15606,0.32416,3.33457,0.86753,8.00493e-05,8.00493e-05,8.00493e-05
4,28.9057,0.51016,2.82515,1.0795,0.00444,1,0.41624,0.36662,0.318,3.28651,0.84348,0.000109759,0.000109759,0.000109759
5,35.262,0.49307,2.68649,1.0439,0.00443,1,0.58116,0.51554,0.30443,3.27244,0.81828,0.000138148,0.000138148,0.000138148
6,41.7483,0.54926,2.63055,1.13554,0.00442,1,0.6317,0.57458,0.31697,3.26774,0.81848,0.000165216,0.000165216,0.000165216
7,48.052,0.48941,2.42344,1.09294,0.00446,1,0.63761,0.57923,0.32451,3.25493,0.81137,0.000190965,0.000190965,0.000190965
8,54.3451,0.48078,2.31057,1.08753,0.00445,1,0.6332,0.57098,0.32267,3.24304,0.80104,0.000215393,0.000215393,0.000215393
9,60.4386,0.51435,2.02586,1.00614,0.00443,1,0.62448,0.57894,0.32046,3.23135,0.78942,0.000238501,0.000238501,0.000238501
10,66.5552,0.47896,1.97337,1.02924,0.00443,1,0.63583,0.57781,0.32849,3.22098,0.79359,0.000260289,0.000260289,0.000260289
11,72.6758,0.54473,1.87151,1.04502,0.00442,1,0.61198,0.53548,0.35568,3.20676,0.82932,0.000280756,0.000280756,0.000280756
12,78.7665,0.51427,2.00914,1.13614,0.00444,1,0.59791,0.51789,0.36833,3.19443,0.8298,0.000299903,0.000299903,0.000299903
13,84.9207,0.52372,1.84463,1.04633,0.00446,1,0.57742,0.50616,0.37841,3.16745,0.83032,0.00031773,0.00031773,0.00031773
14,91.0894,0.53333,1.73889,1.02455,0.0045,1,0.5718,0.49923,0.4182,3.17456,0.87409,0.000334237,0.000334237,0.000334237
15,97.2089,0.49177,1.63638,0.9825,0.00454,1,0.56805,0.49579,0.45319,3.20038,0.919,0.000349423,0.000349423,0.000349423
16,103.8,0.53108,1.65317,1.08974,0.00456,1,0.56611,0.47112,0.48905,3.22805,0.95974,0.000363289,0.000363289,0.000363289
17,110.033,0.55356,1.32195,1.02455,0.00454,1,0.56413,0.44955,0.51281,3.24967,0.97923,0.000375835,0.000375835,0.000375835
18,116.335,0.50255,1.37902,1.06781,0.00452,1,0.5649,0.4645,0.51507,3.26207,0.96028,0.000387061,0.000387061,0.000387061
19,122.625,0.51302,1.35549,0.99223,0.00449,1,0.51548,0.44404,0.57561,3.30185,0.96263,0.000396966,0.000396966,0.000396966
