epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,128.767,0.56534,1.30664,1.03861,0.00449,1,0.55256,0.44715,0.5608,3.2301,0.95374,0.000405551,0.000405551,0.000405551
21,134.943,0.53189,1.20942,1.02173,0.73493,0.36213,0.63696,0.55752,0.39687,3.07305,0.90673,0.000412816,0.000412816,0.000412816
22,141.113,0.43944,1.12671,0.96434,0.84787,0.16564,0.7162,0.63616,0.37419,2.96612,0.90222,0.00041876,0.00041876,0.00041876
23,147.36,0.48651,1.05936,0.99703,0.88195,0.19714,0.76209,0.68792,0.38321,2.91771,0.89225,0.000423385,0.000423385,0.000423385
24,153.481,0.43047,1.25758,0.95964,0.91202,0.27874,0.73906,0.67134,0.38774,2.87701,0.8933,0.000426689,0.000426689,0.000426689
25,159.738,0.46384,1.20303,0.97733,0.93327,0.3619,0.71631,0.65788,0.40731,2.84237,0.91009,0.000428672,0.000428672,0.000428672
26,165.961,0.49356,1.13943,1.02034,1,0.46316,0.69251,0.62365,0.41798,2.83399,0.90704,0.000429336,0.000429336,0.000429336
27,172.13,0.49542,1.19235,1.00509,0.89516,0.49586,0.67946,0.6155,0.40851,2.76429,0.8983,0.000428679,0.000428679,0.000428679
28,178.222,0.48717,1.0982,1.01174,0.89516,0.49586,0.67946,0.6155,0.40851,2.76429,0.8983,0.000426702,0.000426702,0.000426702
29,184.563,0.48475,1.05154,0.97786,0.85135,0.47463,0.71335,0.65711,0.3804,2.75796,0.88269,0.000423405,0.000423405,0.000423405
30,190.664,0.4989,1.21473,1.01779,0.82746,0.42143,0.7377,0.68548,0.37047,2.75268,0.8734,0.000418787,0.000418787,0.000418787
31,196.713,0.47055,0.9877,0.94302,0.82746,0.42143,0.7377,0.68548,0.37047,2.75268,0.8734,0.000412849,0.000412849,0.000412849
32,202.933,0.45018,1.03093,0.96007,0.81354,0.39154,0.79388,0.72814,0.37888,2.75292,0.88816,0.000405591,0.000405591,0.000405591
33,209.117,0.44787,0.92905,0.97204,0.92982,0.35638,0.84658,0.7538,0.41085,2.78665,0.94545,0.000397013,0.000397013,0.000397013
34,215.369,0.42192,0.97702,0.96562,0.92982,0.35638,0.84658,0.7538,0.41085,2.78665,0.94545,0.000387114,0.000387114,0.000387114
35,221.419,0.36761,0.97294,0.94549,0.865,0.38732,0.85668,0.7687,0.41864,2.74888,0.98754,0.000375895,0.000375895,0.000375895
36,227.635,0.40209,1.1273,0.99789,0.88946,0.45097,0.87147,0.8048,0.40327,2.68729,0.97112,0.000363356,0.000363356,0.000363356
37,233.999,0.41098,0.97436,0.95484,0.88946,0.45097,0.87147,0.8048,0.40327,2.68729,0.97112,0.000349497,0.000349497,0.000349497
38,240.297,0.45995,1.0686,1.03151,0.8488,0.51038,0.85938,0.78687,0.41433,2.63804,0.95795,0.000334317,0.000334317,0.000334317
39,246.61,0.42692,0.94552,0.95926,0.81897,0.52249,0.87641,0.80316,0.42472,2.59304,0.97445,0.000317817,0.000317817,0.000317817
40,252.749,0.46579,0.99977,0.9639,0.81897,0.52249,0.87641,0.80316,0.42472,2.59304,0.97445,0.000299997,0.000299997,0.000299997
41,258.737,0.36623,1.36314,0.90512,0.86814,0.5772,0.919,0.8249,0.45029,2.57316,1.00236,0.000280856,0.000280856,0.000280856
42,264.775,0.34644,1.26203,0.8807,0.94939,0.59362,0.95161,0.86095,0.44143,2.56208,0.97909,0.000260395,0.000260395,0.000260395
43,270.791,0.35147,1.27528,0.94445,0.94939,0.59362,0.95161,0.86095,0.44143,2.56208,0.97909,0.000238614,0.000238614,0.000238614
44,277.21,0.33845,1.39084,0.92971,1,0.63339,0.98771,0.91176,0.38274,2.54252,0.89249,0.000215513,0.000215513,0.000215513
45,283.326,0.30699,1.2205,0.93263,1,0.63339,0.98771,0.91176,0.38274,2.54252,0.89249,0.000191092,0.000191092,0.000191092
46,289.324,0.2861,1.16801,0.84288,1,0.77483,0.995,0.94543,0.33563,2.45141,0.83726,0.00016535,0.00016535,0.00016535
47,295.404,0.34858,1.2278,0.85981,1,0.77483,0.995,0.94543,0.33563,2.45141,0.83726,0.000138288,0.000138288,0.000138288
48,301.747,0.33038,1.23305,0.9371,0.99494,0.97339,0.995,0.95131,0.32859,2.32108,0.82829,0.000109905,0.000109905,0.000109905
49,307.762,0.30999,1.30848,0.91914,0.99494,0.97339,0.995,0.95131,0.32859,2.32108,0.82829,8.02027e-05,8.02027e-05,8.02027e-05
50,314.009,0.30269,1.28604,0.88051,0.98637,0.99903,0.995,0.95184,0.31561,2.19823,0.81225,4.91798e-05,4.91798e-05,4.91798e-05
