epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05669,0.61963,2.99784,1.14303,0.00475,0.97917,0.07117,0.04987,0.42277,3.37473,0.90201,1.667e-05,1.667e-05,1.667e-05
2,16.3504,0.60712,2.98417,1.15355,0.00481,0.97917,0.10577,0.07081,0.37231,3.35673,0.87611,4.90198e-05,4.90198e-05,4.90198e-05
3,23.5842,0.46818,2.87541,0.98524,0.00478,0.97917,0.20459,0.16643,0.33565,3.32512,0.84578,8.00493e-05,8.00493e-05,8.00493e-05
4,30.6581,0.52964,2.79499,1.03343,0.00485,1,0.37432,0.32631,0.34058,3.26281,0.81901,0.000109759,0.000109759,0.000109759
5,37.567,0.50162,2.71326,1.00102,0.00482,1,0.49319,0.43087,0.32897,3.2332,0.80449,0.000138148,0.000138148,0.000138148
6,44.6991,0.47844,2.47035,0.99426,0.00481,1,0.61975,0.51955,0.34416,3.21667,0.81832,0.000165216,0.000165216,0.000165216
7,51.6504,0.48337,2.44375,1.02631,0.00486,1,0.61593,0.52539,0.36349,3.21648,0.83139,0.000190965,0.000190965,0.000190965
8,58.654,0.43194,2.24738,0.97034,0.00492,1,0.64704,0.55986,0.37763,3.20542,0.83392,0.000215393,0.000215393,0.000215393
9,65.5963,0.50431,2.12023,1.00347,0.00497,1,0.64956,0.57646,0.39106,3.19336,0.85527,0.000238501,0.000238501,0.000238501
10,72.5783,0.50395,2.01542,1.00887,0.00512,1,0.65775,0.60512,0.3921,3.17983,0.84377,0.000260289,0.000260289,0.000260289
11,80.1554,0.50437,1.95023,0.96309,0.00508,1,0.66117,0.6178,0.36834,3.16283,0.82257,0.000280756,0.000280756,0.000280756
12,87.2452,0.45291,1.89654,1.02346,0.00507,1,0.68263,0.63031,0.37968,3.14738,0.82384,0.000299903,0.000299903,0.000299903
13,94.5167,0.52651,1.87334,1.0476,0.00501,1,0.71871,0.65739,0.39325,3.14899,0.8251,0.00031773,0.00031773,0.00031773
14,101.737,0.5411,1.76092,1.05185,0.00496,1,0.76763,0.6933,0.40887,3.14249,0.82651,0.000334237,0.000334237,0.000334237
15,108.863,0.53879,1.76417,1.02624,0.00493,1,0.76587,0.67187,0.44163,3.13727,0.83767,0.000349423,0.000349423,0.000349423
16,116.005,0.56082,1.65847,1.08069,0.00496,1,0.73484,0.65365,0.47176,3.13191,0.85251,0.000363289,0.000363289,0.000363289
17,123.141,0.57572,1.5149,1.00948,0.00494,1,0.63159,0.53358,0.52567,3.15876,0.89628,0.000375835,0.000375835,0.000375835
18,130.16,0.55014,1.47841,1.02215,0.00496,1,0.6164,0.49983,0.54343,3.16212,0.91383,0.000387061,0.000387061,0.000387061
19,137.059,0.4978,1.4048,1.01395,0.00495,1,0.65341,0.56888,0.47801,3.12127,0.89174,0.000396966,0.000396966,0.000396966
