epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4223,0.58148,2.93069,1.11447,0.00399,1,0.24289,0.1736,0.3799,3.45849,0.97902,1.667e-05,1.667e-05,1.667e-05
2,53.9089,0.61945,2.94669,1.20574,0.00393,1,0.27562,0.22109,0.35664,3.43117,0.9576,4.83597e-05,4.83597e-05,4.83597e-05
3,74.1072,0.53793,2.84272,1.08455,0.00386,1,0.40902,0.36435,0.34023,3.40956,0.9333,7.78489e-05,7.78489e-05,7.78489e-05
4,93.7629,0.40849,2.57187,1.02665,0.00383,1,0.47001,0.43691,0.31214,3.37837,0.88459,0.000105138,0.000105138,0.000105138
5,114.189,0.4365,2.61166,1.02898,0.00384,1,0.49383,0.46429,0.28581,3.33225,0.85547,0.000130226,0.000130226,0.000130226
6,136.441,0.52658,2.27204,1.09659,0.00387,1,0.52919,0.48579,0.30605,3.27979,0.84759,0.000153114,0.000153114,0.000153114
7,164.41,0.44832,2.24285,1.05166,0.0039,1,0.55774,0.50584,0.31959,3.24535,0.87278,0.000173801,0.000173801,0.000173801
8,192.233,0.37866,1.81957,1.05944,0.00393,1,0.60883,0.47293,0.47128,3.28355,0.98631,0.000192288,0.000192288,0.000192288
9,214.245,0.43288,1.73451,1.10428,0.00395,1,0.57966,0.45257,0.61136,3.35983,1.10127,0.000208575,0.000208575,0.000208575
10,236.526,0.42833,1.78551,1.01186,0.00396,1,0.63808,0.5074,0.61087,3.33548,1.10224,0.000222661,0.000222661,0.000222661
11,259.272,0.40493,1.65501,0.96404,0.00397,1,0.63803,0.5268,0.56078,3.31212,1.11474,0.000234547,0.000234547,0.000234547
12,281.531,0.42282,1.46563,0.99383,0.00397,1,0.69967,0.57969,0.51206,3.25537,1.11724,0.000244232,0.000244232,0.000244232
13,301.161,0.42957,1.42747,1.07103,0.00394,1,0.72883,0.58072,0.4956,3.18688,1.11551,0.000251717,0.000251717,0.000251717
14,325.096,0.40016,1.38872,0.95393,0.00387,1,0.73759,0.58422,0.47017,3.16317,1.06648,0.000257001,0.000257001,0.000257001
15,349.73,0.61605,1.47299,1.12257,0.00385,1,0.77803,0.64046,0.45325,3.11565,1.01105,0.000260085,0.000260085,0.000260085
16,372.185,0.53757,1.62725,1.04403,0.00384,1,0.80414,0.6866,0.43588,3.08881,0.97638,0.000260969,0.000260969,0.000260969
17,394.731,0.42719,1.22291,1.06963,0.79226,0.52547,0.76094,0.6765,0.41395,3.04779,0.9499,0.000259652,0.000259652,0.000259652
18,415.711,0.45026,1.25294,1.08612,1,0.2359,0.74841,0.66728,0.41781,3.01348,0.94988,0.000256135,0.000256135,0.000256135
19,436.247,0.47165,1.17879,1.09957,1,0.293,0.86942,0.77241,0.41945,2.90697,0.95629,0.000250417,0.000250417,0.000250417
20,460.489,0.40148,1.14995,1.02064,0.98347,0.38947,0.87161,0.78614,0.39948,2.74256,0.93325,0.000242498,0.000242498,0.000242498
21,484.937,0.33947,1.80361,0.93291,0.98531,0.69351,0.88119,0.79975,0.39399,2.66014,0.90801,0.00023238,0.00023238,0.00023238
22,507.04,0.43039,2.16652,1.09819,0.96889,0.71331,0.89403,0.82121,0.39379,2.59865,0.90487,0.000220061,0.000220061,0.000220061
23,526.258,0.45233,1.92447,1.0529,0.97652,0.73767,0.90267,0.83033,0.40827,2.61538,0.92304,0.000205541,0.000205541,0.000205541
24,546.716,0.37869,1.76561,1.03377,1,0.72739,0.90888,0.82892,0.40495,2.68281,0.91253,0.000188821,0.000188821,0.000188821
25,566.188,0.45748,1.90366,0.95837,1,0.58985,0.9135,0.81288,0.41112,2.77569,0.9114,0.000169901,0.000169901,0.000169901
26,587.097,0.36137,1.58271,0.97639,1,0.56019,0.90762,0.8065,0.4207,2.80071,0.91854,0.00014878,0.00014878,0.00014878
27,609.092,0.47959,1.77918,0.96472,1,0.57877,0.9418,0.84892,0.39974,2.75467,0.89167,0.000125458,0.000125458,0.000125458
28,629.986,0.38404,1.66848,0.85888,1,0.57877,0.9418,0.84892,0.39974,2.75467,0.89167,9.99366e-05,9.99366e-05,9.99366e-05
29,650.39,0.46694,1.86885,0.99565,1,0.61684,0.95601,0.87014,0.37207,2.68087,0.85792,7.22144e-05,7.22144e-05,7.22144e-05
30,671.775,0.29891,1.82335,0.94238,1,0.65123,0.96597,0.89127,0.35543,2.59291,0.8385,4.22918e-05,4.22918e-05,4.22918e-05
