epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9551,0.55875,2.8296,1.24109,0.00341,1,0.36293,0.23943,0.3287,3.45604,1.02776,0,0,0
2,37.3199,0.64293,2.89317,1.31794,0.00339,1,0.36647,0.25353,0.32686,3.45734,1.02002,1.61199e-05,1.61199e-05,1.61199e-05
3,50.9762,0.66009,2.86284,1.25316,0.00337,1,0.44635,0.30266,0.31709,3.45721,1.00995,3.11396e-05,3.11396e-05,3.11396e-05
4,63.1454,0.65498,2.9812,1.24508,0.00334,1,0.41717,0.31673,0.29907,3.45309,1.00051,4.5059e-05,4.5059e-05,4.5059e-05
5,75.4327,0.56486,2.86016,1.29191,0.00333,1,0.48261,0.41404,0.29028,3.44174,0.98938,5.78782e-05,5.78782e-05,5.78782e-05
6,86.8783,0.55998,2.74412,1.31196,0.00334,1,0.47581,0.43397,0.2659,3.43372,0.9648,6.95973e-05,6.95973e-05,6.95973e-05
7,98.0565,0.46096,2.62692,1.19529,0.00338,1,0.47386,0.44167,0.24721,3.41901,0.96077,8.0216e-05,8.0216e-05,8.0216e-05
8,109.248,0.52353,2.59221,1.19508,0.00344,1,0.55949,0.50562,0.25129,3.42211,0.94929,8.97346e-05,8.97346e-05,8.97346e-05
9,120.295,0.3928,2.39065,1.09338,0.00351,1,0.58668,0.54118,0.26239,3.39841,0.94713,9.8153e-05,9.8153e-05,9.8153e-05
10,131.503,0.33635,2.35013,1.08272,0.00358,1,0.56214,0.5299,0.29213,3.39062,0.9523,0.000105471,0.000105471,0.000105471
11,142.69,0.49182,2.27955,1.11007,0.00365,1,0.59674,0.55427,0.31773,3.3693,0.96407,0.000111689,0.000111689,0.000111689
12,153.975,0.27421,2.04566,1.03565,0.0038,1,0.60671,0.5672,0.32649,3.35025,0.95454,0.000116807,0.000116807,0.000116807
13,164.976,0.4625,2.11634,1.10125,0.00402,1,0.61683,0.56967,0.32001,3.31454,0.94868,0.000120824,0.000120824,0.000120824
14,176.404,0.34244,1.94931,1.02524,0.00409,1,0.60491,0.55764,0.31263,3.28085,0.94545,0.000123741,0.000123741,0.000123741
15,187.578,0.49904,2.1402,1.17471,0.00419,1,0.641,0.58192,0.31548,3.26493,0.94695,0.000125558,0.000125558,0.000125558
16,198.525,0.32524,1.82831,1.03359,0.00422,1,0.64849,0.57739,0.32777,3.25646,0.95372,0.000126275,0.000126275,0.000126275
17,210.394,0.28852,1.68056,0.97565,0.00428,1,0.70454,0.61068,0.35236,3.26006,0.98128,0.000125892,0.000125892,0.000125892
18,222.286,0.27146,1.62968,0.97276,0.00428,1,0.70454,0.61068,0.35236,3.26006,0.98128,0.000124408,0.000124408,0.000124408
19,234.046,0.39413,1.6991,1.01356,0.00427,1,0.76915,0.66313,0.38113,3.26998,0.99383,0.000121824,0.000121824,0.000121824
20,245.316,0.39851,1.63571,1.04937,0.00427,1,0.76915,0.66313,0.38113,3.26998,0.99383,0.00011814,0.00011814,0.00011814
21,256.798,0.8449,2.74168,1.3568,0.0042,1,0.81925,0.74445,0.33669,3.27426,0.97125,0.000113356,0.000113356,0.000113356
22,268.456,0.26018,1.93242,0.93824,0.0042,1,0.81925,0.74445,0.33669,3.27426,0.97125,0.000107471,0.000107471,0.000107471
23,279.936,0.41387,2.13074,1.00239,0.00416,1,0.83887,0.79901,0.30095,3.25361,0.94681,0.000100487,0.000100487,0.000100487
24,291.276,0.4824,2.12601,1.14559,0.00416,1,0.83887,0.79901,0.30095,3.25361,0.94681,9.24018e-05,9.24018e-05,9.24018e-05
25,302.826,0.42011,2.05055,1.11467,0.00406,1,0.94226,0.88914,0.30099,3.21799,0.93302,8.32166e-05,8.32166e-05,8.32166e-05
26,313.991,0.48541,2.0109,1.12099,0.00406,1,0.94226,0.88914,0.30099,3.21799,0.93302,7.29312e-05,7.29312e-05,7.29312e-05
27,325.371,0.28885,1.82572,1.07213,0.004,1,0.96257,0.88628,0.30877,3.2177,0.9378,6.15456e-05,6.15456e-05,6.15456e-05
28,336.52,0.35295,1.84533,1.05825,0.004,1,0.96257,0.88628,0.30877,3.2177,0.9378,4.90598e-05,4.90598e-05,4.90598e-05
29,348.029,0.37448,1.89984,1.13343,0.00399,1,0.9775,0.88178,0.32355,3.19681,0.93979,3.54738e-05,3.54738e-05,3.54738e-05
30,359.342,0.36026,1.83192,1.08831,0.00399,1,0.9775,0.88178,0.32355,3.19681,0.93979,2.07875e-05,2.07875e-05,2.07875e-05
